iter	Passed	Remaining
741	28921	10056
742	28952	10014
743	28984	9973
744	29020	9933
745	29051	9891
746	29081	9849
747	29111	9807
748	29143	9766
749	29175	9725
750	29206	9683
751	29237	9642
752	29267	9600
753	29298	9558
754	29328	9517
755	29359	9475
756	29390	9434
757	29421	9393
758	29451	9351
759	29482	9310
760	29513	9269
761	29544	9227
762	29578	9187
763	29609	9146
764	29640	9105
765	29671	9064
766	29701	9022
767	29731	8981
768	29762	8940
769	29793	8899
770	29826	8859
771	29864	8820
772	29910	8783
773	29958	8747
774	29996	8708
775	30029	8668
776	30067	8629
777	30099	8588
778	30130	8547
779	30160	8506
780	30191	8466
781	30223	8425
782	30254	8384
783	30285	8343
784	30316	8303
785	30346	8262
786	30376	8221
787	30406	8180
788	30436	8139
789	30468	8099
790	30498	8058
791	30530	8018
792	30560	7977
793	30594	7937
794	30624	7896
795	30655	7856
796	30685	7815
797	30715	7775
798	30747	7734
799	30777	7694
800	30808	7653
801	30843	7614
802	30896	7579
803	30947	7544
804	30991	7507
805	31033	7469
806	31074	7431
807	31129	7397
808	31174	7360
809	31218	7322
810	31259	7284
811	31300	7246
812	31340	7208
813	31403	7175
814	31463	7142
815	31502	7103
816	31546	7066
817	31606	7032
818	31655	6995
819	31705	6959
820	31753	6923
821	31794	6884
822	31834	6846
823	31865	6806
824	31896	6766
825	31927	6725
826	31957	6685
827	31989	6645
828	32021	6605
829	32051	6564
830	32081	6524
831	32113	6484
832	32146	6444
833	32180	6405
834	32211	6365
835	32242	6325
836	32276	6285
837	32309	6246
838	32340	6205
839	32371	6166
840	32405	6126
841	32437	6086
842	32467	6046
843	32499	6006
844	32530	5967
845	32561	5927
846	32591	5887
847	32625	5847
848	32656	5808
849	32697	5770
850	32729	5730
851	32763	5691
852	32810	5654
853	32870	5619
854	32922	5583
855	32977	5547
856	33029	5511
857	33080	5474
858	33122	5436
859	33154	5397
860	33185	5357
861	33215	5317
862	33245	5277
863	33276	5237
864	33308	5198
865	33338	5158
866	33369	5118
867	33400	5079
868	33431	5039
869	33461	5000
870	33492	4960
871	33524	4921
872	33556	4881
873	33588	4842
874	33622	4803
875	33652	4763
876	33683	4724
877	33713	4684
878	33761	4647
879	33812	4610
880	33843	4571
881	33874	4531
882	33905	4492
883	33936	4453
884	33967	4413
885	33999	4374
886	34032	4335
887	34066	4296
888	34097	4257
889	34129	4218
890	34169	4180
891	34209	4142
892	34254	4104
893	34306	4067
894	34349	4029
895	34404	3993
896	34444	3955
897	34485	3917
898	34526	3878
899	34583	3842
900	34625	3804
901	34675	3767
902	34713	3728
903	34753	3690
904	34785	3651
905	34815	3612
906	34846	3573
907	34877	3533
908	34908	3494
909	34938	3455
910	34969	3416
911	34998	3377
912	35028	3337
913	35061	3299
914	35097	3260
915	35128	3221
916	35159	3182
917	35189	3143
918	35219	3104
919	35249	3065
920	35281	3026
921	35312	2987
922	35343	2948
923	35373	2909
924	35403	2870
925	35433	2831
926	35462	2792
927	35493	2753
928	35524	2714
929	35554	2676
930	35585	2637
931	35618	2598
932	35666	2561
933	35715	2523
934	35767	2486
935	35822	2449
936	35863	2411
937	35894	2372
938	35924	2333
939	35955	2295
940	35986	2256
941	36017	2217
942	36047	2178
943	36079	2140
944	36116	2101
945	36148	2063
946	36179	2024
947	36209	1986
948	36239	1947
949	36269	1908
950	36300	1870
951	36331	1831
952	36362	1793
953	36392	1754
954	36423	1716
955	36453	1677
956	36483	1639
957	36513	1600
958	36543	1562
959	36573	1523
960	36604	1485
961	36635	1447
962	36666	1408
963	36696	1370
964	36729	1332
965	36759	1293
966	36789	1255
967	36821	1217
968	36860	1179
969	36899	1141
970	36945	1103
971	37015	1066
972	37074	1028
973	37129	991
974	37178	953
975	37228	915
976	37286	877
977	37333	839
978	37383	801
979	37423	763
980	37463	725
981	37515	687
982	37554	649
983	37602	611
984	37647	573
985	37745	535
986	37791	497
987	37834	459
988	37874	421
989	37931	383
990	37995	345
991	38085	307
992	38141	268
993	38189	230
994	38244	192
995	38289	153
996	38332	115
997	38380	76
998	38422	38
999	38464	0
